"Distancia (kilómetros)","Padre Las Casas
","Temuco
","Carahue
","Nueva Imperial
","Puerto Saavedra
","Toltén, Chile
","Angol
","Collipulli
","Los Sauces
","Purén, Chile
","Lumaco
","Freire
","Loncoche
","Villarrica, Chile
","Pucón"
"Padre Las Casas
","","4","57","35","87","95","138","107","135","158","128","26","81","79","104"
"Temuco
","4","","55","34","86","97","132","101","129","151","122","27","82","80","105"
"Carahue
","57","56","","23","30","71","162","164","132","154","125","77","132","130","155"
"Nueva Imperial
","35","34","22","","52","76","139","142","109","131","101","55","110","108","133"
"Puerto Saavedra
","87","86","30","53","","75","193","194","162","139","155","107","162","160","185"
"Toltén, Chile
","95","98","71","75","75","","229","198","227","249","219","71","106","123","149"
"Angol
","138","131","162","139","193","229","","31","31","54","55","159","214","212","237"
"Collipulli
","107","100","165","143","195","197","31","","55","78","79","128","183","181","206"
"Los Sauces
","135","128","132","108","162","183","31","56","","23","24","156","211","209","234"
"Purén, Chile
","157","151","155","131","139","205","54","79","23","","24","179","234","232","257"
"Lumaco
","128","121","125","101","155","175","54","79","24","24","","149","204","202","227"
"Freire
","25","28","78","56","108","71","160","129","158","180","150","","57","54","80"
"Loncoche
","80","83","132","110","162","107","214","183","212","234","204","57","","42","67"
"Villarrica, Chile
","77","80","129","107","159","123","212","180","209","231","201","54","42","","26"
"Pucón","102","105","154","132","185","149","237","206","234","257","227","80","67","26",""
"","","","","","","","","","","","","","","",""
"Distancia entre ciudades: ","","","","","","","","","","","","","","",""
"https://chile.mejoresrutas.com/tabla-de-distancias/","","","","","","","","","","","","","","",""
